txn_id,date,from_clabe,to_clabe,amount,reference,channel
BNK-00001,2026-01-10,000000000000000099,044973337560058837,59813.56,Pago SPEI INV-00001,SPEI
BNK-00002,2025-09-07,000000000000000099,044183898162647166,84736.54,Pago SPEI INV-00002,SPEI
BNK-00003,2026-02-20,000000000000000099,012835645304262793,119964.36,Pago SPEI INV-00003,SPEI
BNK-00004,2025-02-28,000000000000000099,012360118728527896,71565.96,Pago SPEI INV-00004,SPEI
BNK-00005,2025-02-04,000000000000000099,012702109458264863,69903.19,Pago SPEI INV-00005,SPEI
BNK-00006,2025-07-13,000000000000000099,012142585685997831,109025.89,Pago SPEI INV-00006,SPEI
BNK-00007,2026-01-01,000000000000000099,002187775680286238,127841.85,Pago SPEI INV-00007,SPEI
BNK-00008,2025-11-28,000000000000000099,021458410422862665,163714.48,Pago SPEI INV-00008,SPEI
BNK-00009,2025-05-28,000000000000000099,002512560773265072,137123.58,Pago SPEI INV-00010,SPEI
BNK-00010,2025-11-30,000000000000000099,044315560317938315,103626.41,Pago SPEI INV-00011,SPEI
BNK-00011,2025-06-12,000000000000000099,002187775680286238,148965.47,Pago SPEI INV-00012,SPEI
BNK-00012,2025-02-27,000000000000000099,127903506089517386,175617.2,Pago SPEI INV-00013,SPEI
BNK-00013,2025-06-09,000000000000000099,014195432908848040,94440.14,Pago SPEI INV-00014,SPEI
BNK-00014,2025-02-28,000000000000000099,012360118728527896,65320.41,Pago SPEI INV-00015,SPEI
BNK-00015,2025-07-06,000000000000000099,012142585685997831,83999.74,Pago SPEI INV-00017,SPEI
BNK-00016,2026-03-17,000000000000000099,014726993658137773,182943.89,Pago SPEI INV-00019,SPEI
BNK-00017,2025-12-09,000000000000000099,012142585685997831,40640.95,Pago SPEI INV-00021,SPEI
BNK-00018,2025-03-15,000000000000000099,127663147154820856,207318.02,Pago SPEI INV-00022,SPEI
BNK-00019,2025-01-20,000000000000000099,127930117707910232,68536.85,Pago SPEI INV-00025,SPEI
BNK-00020,2025-07-27,000000000000000099,021458410422862665,163413.83,Pago SPEI INV-00026,SPEI
BNK-00021,2025-09-08,000000000000000099,044723280341858650,78298.94,Pago SPEI INV-00027,SPEI
BNK-00022,2025-08-27,000000000000000099,127756243459444311,155675.75,Pago SPEI INV-00029,SPEI
BNK-00023,2025-05-11,000000000000000099,044723280341858650,135581.74,Pago SPEI INV-00031,SPEI
BNK-00024,2025-06-23,000000000000000099,012859849121130974,49242.22,Pago SPEI INV-00032,SPEI
BNK-00025,2025-11-05,000000000000000099,127663147154820856,119065.23,Pago SPEI INV-00033,SPEI
BNK-00026,2025-04-05,000000000000000099,012142585685997831,192115.48,Pago SPEI INV-00034,SPEI
BNK-00027,2025-02-28,000000000000000099,044721557616122021,122018.88,Pago SPEI INV-00035,SPEI
BNK-00028,2025-06-24,000000000000000099,012835645304262793,112473.6,Pago SPEI INV-00038,SPEI
BNK-00029,2025-12-18,000000000000000099,021813842842734405,35997.18,Pago SPEI INV-00039,SPEI
BNK-00030,2025-07-05,000000000000000099,002187775680286238,191502.76,Pago SPEI INV-00040,SPEI
BNK-00031,2026-03-23,000000000000000099,127930117707910232,192241.41,Pago SPEI INV-00041,SPEI
BNK-00032,2025-05-20,000000000000000099,012702109458264863,161744.6,Pago SPEI INV-00042,SPEI
BNK-00033,2026-02-02,000000000000000099,012859849121130974,87947.29,Pago SPEI INV-00043,SPEI
BNK-00034,2025-11-05,000000000000000099,127756243459444311,135981.27,Pago SPEI INV-00044,SPEI
