acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,I,A,USD,false,1,0,1000000,96646.86,,bank,Steven,Collins,48764 Howard Forge Apt. 421,Vanessaside,VT,US,79393,Male,2010-01-09,076-88-5410,73.479690,60.2738415
1,C_1,I,A,USD,false,1,0,1000000,80707.36,,bank,Ronald,Cook,9387 Grimes Green Apt. 801,Pagetown,RI,US,65195,Male,2010-01-31,334-91-1032,-77.421639,62.3400045
2,C_2,I,A,USD,false,1,0,1000000,52101.10,,bank,Robert,Fernandez,711 Golden Overpass,West Andreaville,OH,US,44115,Male,2019-06-30,618-71-9628,-25.565183,29.450832
3,C_3,I,A,USD,false,1,0,1000000,90324.40,,bank,Stephanie,Leblanc,9342 Lori Bypass Suite 711,East Sandra,MP,US,11019,Female,1984-04-08,700-51-8595,-32.020057,50.066962
4,C_4,I,A,USD,false,1,0,1000000,91267.86,,bank,Mark,Bruce,969 Hayes Shore,Christopherville,NM,US,77450,Male,1943-10-09,017-94-4441,-117.114006,-30.820575
5,C_5,I,A,USD,false,1,0,1000000,77717.44,,bank,Bryan,Davis,6012 Brandon Ports,North Davidborough,PA,US,75992,Male,2024-03-06,119-05-9921,-168.383986,-37.764890
6,C_6,I,A,USD,false,1,0,1000000,69099.23,,bank,Christopher,Gordon,086 Mary Cliff,North Deborah,MI,US,57657,Male,1916-01-20,611-13-6411,-72.971675,-20.171012
7,C_7,I,A,USD,false,1,0,1000000,97479.13,,bank,Shaun,Lowery,230 Megan Junctions Suite 197,North Thomas,MT,US,75095,Male,1999-01-05,366-50-4112,-97.637148,60.484975
8,C_8,I,A,USD,true,1,0,1000000,98752.44,,bank,Jasmine,Perry,150 Taylor Track Suite 594,Brittanyberg,VT,US,41172,Female,1999-04-10,083-01-9742,-76.754602,-0.234729
9,C_9,I,A,USD,true,1,0,1000000,88834.29,,bank,Amy,Miles,769 Johnson Well,Bartonton,GA,US,58874,Female,1971-06-11,541-63-9199,144.257890,-89.9814355
10,C_10,I,A,USD,false,1,0,1000000,92168.76,,bank,Paul,Baird,4706 Amy Roads Apt. 206,Stewartborough,AL,US,94522,Male,2002-08-31,542-79-1603,-77.747603,-58.081979
11,C_11,I,A,USD,false,1,0,1000000,81167.91,,bank,Brandi,Meyer,4217 Burton Brooks,Robinville,VI,US,34119,Female,1999-04-07,661-45-1886,-97.085583,-15.2649345
12,C_12,I,A,USD,false,1,0,1000000,73205.69,,bank,Jacqueline,Medina,34855 Meghan Squares,Josephmouth,SC,US,57575,Female,1938-12-24,385-76-4769,-175.223413,-52.8332455
13,C_13,I,A,USD,false,1,0,1000000,98213.62,,bank,Karen,Allen,5159 Blake Estates Apt. 945,Haysberg,LA,US,15560,Female,1917-04-05,316-23-8570,-141.955780,-8.752464
14,C_14,I,A,USD,false,1,0,1000000,55914.61,,bank,Melissa,Moore,6118 Wells Ville Suite 171,Simmonsport,MA,US,96806,Female,1933-05-12,642-73-6154,162.995295,-66.6671135
15,C_15,I,A,USD,false,1,0,1000000,55743.03,,bank,Claudia,Miller,30601 Hawkins Highway,Morashire,VT,US,89538,Female,1940-08-27,268-75-2730,51.510024,-38.4751525
16,C_16,I,A,USD,false,1,0,1000000,50963.87,,bank,Loretta,Garcia,087 David Locks,Jaredton,AS,US,28798,Female,1973-01-30,388-47-8953,-98.752978,-61.882385
17,C_17,I,A,USD,false,1,0,1000000,93010.16,,bank,Shannon,Morrison,930 Thornton Summit,Lisaton,NC,US,19947,Male,1931-11-30,863-49-9552,-21.954682,36.2804625
18,C_18,I,A,USD,false,1,0,1000000,92937.23,,bank,Sean,Murray,013 Billy Bridge,Riveraburgh,AS,US,20007,Male,1961-03-25,518-49-8681,89.739300,-80.975734
19,C_19,I,A,USD,false,1,0,1000000,78765.19,,bank,Mary,Smith,634 Petersen Orchard,Lawsonbury,PR,US,03185,Female,1935-06-17,310-65-9344,-43.388149,-0.6953315
20,C_20,I,A,USD,false,1,0,1000000,72409.24,,bank,Michelle,Nunez,6660 Danielle Crossroad Apt. 450,South Robertfort,FM,US,79401,Female,1931-04-18,830-46-6737,-161.112995,74.220991
21,C_21,I,A,USD,false,1,0,1000000,93546.54,,bank,Timothy,Santos,17200 Crystal Cove Suite 367,North Chelseamouth,RI,US,83379,Male,2003-08-02,731-80-4856,-111.758809,14.0578475
22,C_22,I,A,USD,false,1,0,1000000,94007.32,,bank,Katelyn,Santana,306 Watson Field,Kellyland,AZ,US,05741,Female,1981-06-22,683-73-9369,-64.046951,-28.352392
23,C_23,I,A,USD,false,1,0,1000000,99168.24,,bank,Jeffrey,Butler,412 Snow Manors Apt. 161,South Kimtown,WY,US,59053,Male,1978-04-14,885-42-4139,-137.834941,4.624310
24,C_24,I,A,USD,true,1,0,1000000,53332.53,,bank,Todd,Martinez,055 Alejandro Fort Suite 192,North Jamie,TX,US,96459,Male,1911-09-03,301-48-0404,144.725425,-27.491287
25,C_25,I,A,USD,false,1,0,1000000,98268.42,,bank,Mark,White,1754 Anthony Fords,Matthewport,LA,US,73010,Male,1921-09-10,106-69-9517,-14.771265,-48.0158735
26,C_26,I,A,USD,false,1,0,1000000,55712.15,,bank,Michael,Anderson,35833 Kelly Manor,Port Davidtown,MO,US,10714,Male,1951-06-10,564-54-2332,137.331791,23.330428
27,C_27,I,A,USD,false,1,0,1000000,73519.93,,bank,Destiny,Grant,37580 Ortiz Mall Suite 735,Stephanieland,HI,US,14737,Female,2004-05-10,158-90-7310,34.091723,-40.2372505
28,C_28,I,A,USD,false,1,0,1000000,69375.75,,bank,Edwin,Mack,37582 Ford Route Apt. 734,Port Hollymouth,AL,US,29170,Male,1996-04-15,309-70-9981,-96.129431,23.8727555
29,C_29,I,A,USD,false,1,0,1000000,85092.23,,bank,Shelby,Chambers,73864 David Skyway Apt. 046,Wallaceview,MI,US,37646,Female,1937-05-16,610-11-0581,-142.174403,-19.5392385
30,C_30,I,A,USD,false,1,0,1000000,55751.12,,bank,Jacqueline,Fuller,83216 Campbell Dale Apt. 816,Figueroaview,LA,US,58482,Female,1932-01-26,127-90-1975,24.777467,17.700744
31,C_31,I,A,USD,false,1,0,1000000,70795.70,,bank,Brenda,Simpson,457 Robinson Overpass,Trevorton,NV,US,39846,Female,1995-03-26,221-04-5823,73.150133,14.949148
32,C_32,I,A,USD,false,1,0,1000000,63029.65,,bank,Brenda,Berry,116 Michael Crescent,West Morganport,VA,US,30213,Female,1936-09-18,108-56-7552,-2.727496,13.114153
33,C_33,I,A,USD,false,1,0,1000000,59443.26,,bank,Connie,Gonzalez,627 Alexandria Curve Apt. 275,Simmonsfort,MS,US,96155,Female,1938-06-30,601-91-0816,28.492529,-81.066671
34,C_34,I,A,USD,false,1,0,1000000,61343.35,,bank,Anthony,Terry,50239 Salazar Squares,Kelseystad,MT,US,60570,Male,2001-04-14,665-71-7056,131.900598,32.0313925
35,C_35,I,A,USD,false,1,0,1000000,90007.30,,bank,Jesse,Morgan,54000 Michael Highway Apt. 216,New Randy,PW,US,29464,Male,1924-08-15,621-11-5227,-6.628825,53.8548715
36,C_36,I,A,USD,false,1,0,1000000,89970.50,,bank,Hailey,Marquez,0803 Miller Ways Suite 334,Larryfurt,KS,US,63688,Female,1916-10-01,314-71-1186,-175.056245,33.730239
37,C_37,I,A,USD,false,1,0,1000000,79124.72,,bank,David,Robinson,67771 Christopher Courts Apt. 637,Port Ronaldfurt,AZ,US,24144,Male,2025-01-29,892-36-5769,-8.417671,26.7274635
38,C_38,I,A,USD,true,1,0,1000000,72121.69,,bank,Jason,Robinson,834 Palmer Mountain Suite 430,New Kristenville,HI,US,96561,Male,2010-11-15,676-01-8775,96.640487,24.962750
39,C_39,I,A,USD,false,1,0,1000000,72442.82,,bank,Elizabeth,Murphy,4195 Emily Squares,Jeffreybury,CA,US,68416,Female,1961-06-26,644-62-4700,132.491298,-43.994894
